# ASIN	themen (Komma)	anlass (Komma, darf leer sein)	form
B0FSRSW3F3	Geschichte,Abenteuer	lange Reise	Lesung
B0G1SVP79K	Familie,Alltag		Lesung
3844533923	Krimi-Fälle	fürs Auto	Hörspiel
B0BB81DC3H	Krimi-Fälle	fürs Auto	Hörspiel
B09LMN87M2	Krimi-Fälle,Abenteuer	lange Reise	Hörspiel
B0DZNXM2D7	Krimi-Fälle,Abenteuer	lange Reise	Hörspiel
B0DPR5NL76	Geschichte,Abenteuer	lange Reise	Lesung
B0DPR6QC55	Geschichte,Abenteuer	lange Reise	Lesung
B0DPR75156	Geschichte,Abenteuer	lange Reise	Lesung
B004JVKG32	Abenteuer	mit den Kindern	Hörspiel
B004JVIGZC	Abenteuer,Reisen	mit den Kindern	Hörspiel
B0CGXFZYNX	Krimi-Fälle	mit den Kindern	Lesung
B0D9HKQ391	Familie	mit den Kindern	Lesung
B0DB8WTW9Y	Beziehung,Alltag		Lesung
B09DG6Y6FS	Abenteuer	mit den Kindern	Lesung
B00IFBJVCO	Alltag,Wissenschaft		Bühnenprogramm
B075GVB8MN	Alltag		Bühnenprogramm
B004V294K0	Geschichte,Abenteuer	mit den Kindern	Lesung
B01DWGAINM	Krimi-Fälle,Gesellschaft	lange Reise	Lesung
B00AYE5RZK	Gesellschaft,Reisen	lange Reise	Lesung
B01FMANJNW	Krimi-Fälle	fürs Auto	Lesung
B0DS2DWQCX	Alltag,Gesellschaft		Bühnenprogramm
B004V5NCU0	Geschichte,Abenteuer	mit den Kindern	Lesung
B004V3SX3S	Geschichte,Abenteuer		Lesung
B00S9PSSF2	Politik,Gesellschaft		Bühnenprogramm
B004V6QAYY	Familie,Alltag		Bühnenprogramm
B0BGJF38G7	Geschichte,Alltag		Hörspiel
B0D5MNJRSH	Alltag	beim Bügeln	Bühnenprogramm
B0D5QXR7SW	Alltag,Ruhrpott	beim Bügeln	Lesung
B0GSZ9846C	Beziehung		Bühnenprogramm
B0DZD5N4F9	Ruhrpott,Alltag		Bühnenprogramm
B0CZ79F8PQ	Ruhrpott,Krimi-Fälle		Hörspiel
B01G8YGRX0	Alltag		Lesung
B0H5L8V1T5	Alltag,Gesellschaft		Bühnenprogramm
B0B1QLWJWC	Familie,Alltag		Bühnenprogramm
B0F18GH7LC	Reisen,Gesellschaft		Lesung
B08VKWB1FX	Alltag,Familie		Bühnenprogramm
B08FF1588T	Tiere		Bühnenprogramm
B00CS42VDK	Familie,Alltag		Lesung
B008OEARCA	Familie,Alltag		Lesung
B0GY8Q1NKR	Familie,Reisen	lange Reise	Lesung
B07KXTV8PX	Alltag,Ruhrpott		Lesung
B00H42M5A0	Alltag		Lesung
B0CP4DM9QG	Familie,Beziehung		Lesung
B01N4K24ZB	Alltag	beim Bügeln	Lesung
B09NPT8W69	Alltag,Gesellschaft		Bühnenprogramm
B00TSR3SQE	Alltag,Beziehung		Lesung
B0CFFWDZNQ	Gesellschaft,Politik		Bühnenprogramm
B09NPTJRDM	Gesellschaft,Alltag		Lesung
B0DWMW5KQ5	Familie	fürs Auto	Lesung
B004V7TNYC	Familie,Reisen		Lesung
B09FLY9ZDY	Gesellschaft,Politik		Lesung
B0788S7M78	Alltag		Lesung
B01BD3T8SC	Wissenschaft,Gesellschaft		Lesung
B004V5T7KO	Wissenschaft,Alltag		Bühnenprogramm
B004V1YKZK	Alltag,Familie	beim Bügeln	Lesung
B004UVHHW4	Beziehung,Alltag	beim Bügeln	Lesung
B00CEVSHUS	Gesellschaft,Alltag		Lesung
3732455351	Krimi-Fälle,Politik	fürs Auto	Lesung
B004V7M8TY	Beziehung,Familie		Lesung
B09CZC6BMH	Familie,Gesellschaft		Lesung
B09Z65PYXT	Ruhrpott,Alltag		Lesung
B004V1YQUY	Alltag,Gesellschaft		Lesung
B07CQ2XXWW	Alltag,Geschichte		Lesung
B087V6Y24C	Alltag,Beziehung	zum Einschlafen	Hörspiel
B004V2QCSW	Alltag,Geschichte		Lesung
B00X5ORHSG	Reisen,Alltag		Hörspiel
B007N3275I	Krimi-Fälle,Tiere	fürs Auto	Lesung
B004UXE5N6	Ruhrpott,Familie	zum Einschlafen	Lesung
B0053OI8C0	Ruhrpott,Alltag	zum Einschlafen	Bühnenprogramm
B0D6GL5Y9C	Alltag	zum Einschlafen	Lesung
B004UX0RGK	Ruhrpott,Alltag	zum Einschlafen	Bühnenprogramm
B004V3EZ6W	Familie,Alltag	zum Einschlafen	Lesung
B086XH3P2V	Alltag,Beziehung	zum Einschlafen	Lesung
B09YR8CLDG	Geschichte	zum Einschlafen,mit den Kindern	Lesung
3742408445	Tiere,Familie	zum Einschlafen,mit den Kindern	Lesung
B0C9TZFGJL	Gesellschaft,Politik	fürs Auto	Bühnenprogramm
3837156095	Gesellschaft,Alltag	fürs Auto	Bühnenprogramm
B0D7VV4DQ5	Alltag,Gesellschaft	beim Bügeln,lange Reise	Lesung
B075R33QJH	Gesellschaft,Politik	lange Reise	Bühnenprogramm
B07C7TXJ5G	Gesellschaft,Politik	lange Reise	Lesung
B004V68T1G	Abenteuer,Gesellschaft	lange Reise,fürs Auto	Lesung
B00K7BMOBA	Krimi-Fälle,Politik,Gesellschaft	lange Reise	Lesung
3732455297	Gesellschaft,Alltag	lange Reise	Lesung
B0CHSK2VHM	Wissenschaft,Gesellschaft	lange Reise	Lesung
B006FZ8X8U	Wissenschaft,Gesellschaft	lange Reise	Lesung
3960923945	Abenteuer,Alltag	lange Reise,fürs Auto	Lesung
B0B5HQ61J9	Gesellschaft,Wissenschaft	lange Reise	Lesung
3844924264	Abenteuer,Familie	mit den Kindern,fürs Auto	Hörspiel
B07X7WYR6Y	Abenteuer,Tiere,Familie	mit den Kindern	Hörspiel
B005ZS4ODG	Abenteuer,Reisen	mit den Kindern,lange Reise	Lesung
B0CBCVMNPH	Abenteuer,Gesellschaft,Alltag	mit den Kindern	Hörspiel
B00LLHZ132	Abenteuer,Familie	mit den Kindern,lange Reise	Lesung
B0BHZLGDJV	Abenteuer,Familie	mit den Kindern,lange Reise	Hörspiel
B0G1YWYMMF	Abenteuer,Familie	mit den Kindern,lange Reise	Lesung
B0DLKYWFP6	Geschichte,Familie	zum Einschlafen	Lesung
B01707W3ZA	Gesellschaft,Abenteuer	zum Einschlafen,lange Reise	Lesung
B004UV5TX8	Reisen,Alltag	zum Einschlafen	Lesung
3844543384	Wissenschaft,Gesellschaft	zum Einschlafen	Lesung
B07MXQ5JMY	Alltag,Gesellschaft	zum Einschlafen,lange Reise	Lesung
B079DTTRWL	Tiere,Familie	zum Einschlafen,mit den Kindern	Lesung
B0B1QNKSYL	Tiere,Familie	zum Einschlafen,mit den Kindern	Hörspiel
B0H9RK7R91	Alltag,Gesellschaft	beim Bügeln	Bühnenprogramm
B0H9YDXNLP	Alltag,Familie	beim Bügeln	Lesung
B0GN8QC4JG	Gesellschaft,Alltag	beim Bügeln	Lesung
B0GV45PQPQ	Familie,Alltag	lange Reise	Lesung
B0FLQK8L7P	Gesellschaft,Wissenschaft	lange Reise	Lesung
B0FM3RRRQC	Geschichte,Gesellschaft	lange Reise	Lesung
B0H8ZMJ99W	Politik,Gesellschaft	lange Reise	Lesung
B0HC6W1QR4	Wissenschaft,Gesellschaft	fürs Auto	Lesung
B0CDH5KMH2	Abenteuer,Reisen	lange Reise	Lesung
B0084YKWXO	Abenteuer,Gesellschaft	fürs Auto	Lesung
B0GJTTP5BG	Wissenschaft,Gesellschaft	fürs Auto	Lesung
3960928432	Alltag,Wissenschaft	fürs Auto	Lesung
B0B94J5J1S	Familie,Gesellschaft	beim Bügeln	Lesung
B0BBGJ8NX3	Gesellschaft,Alltag	beim Bügeln	Bühnenprogramm
B0D1RML5D4	Reisen,Alltag	beim Bügeln	Hörspiel
